model,true_class,pred_class,count
decision_tree_forest,Abstract_Expressionism,Abstract_Expressionism,415
decision_tree_forest,Abstract_Expressionism,Baroque,5
decision_tree_forest,Abstract_Expressionism,Cubism,40
decision_tree_forest,Abstract_Expressionism,Impressionism,35
decision_tree_forest,Abstract_Expressionism,Pop_Art,62
decision_tree_forest,Baroque,Abstract_Expressionism,18
decision_tree_forest,Baroque,Baroque,741
decision_tree_forest,Baroque,Cubism,19
decision_tree_forest,Baroque,Impressionism,69
decision_tree_forest,Baroque,Pop_Art,1
decision_tree_forest,Cubism,Abstract_Expressionism,35
decision_tree_forest,Cubism,Baroque,9
decision_tree_forest,Cubism,Cubism,354
decision_tree_forest,Cubism,Impressionism,14
decision_tree_forest,Cubism,Pop_Art,35
decision_tree_forest,Impressionism,Abstract_Expressionism,138
decision_tree_forest,Impressionism,Baroque,218
decision_tree_forest,Impressionism,Cubism,41
decision_tree_forest,Impressionism,Impressionism,2203
decision_tree_forest,Impressionism,Pop_Art,12
decision_tree_forest,Pop_Art,Abstract_Expressionism,54
decision_tree_forest,Pop_Art,Baroque,9
decision_tree_forest,Pop_Art,Cubism,35
decision_tree_forest,Pop_Art,Impressionism,12
decision_tree_forest,Pop_Art,Pop_Art,187
knn,Abstract_Expressionism,Abstract_Expressionism,400
knn,Abstract_Expressionism,Baroque,22
knn,Abstract_Expressionism,Cubism,54
knn,Abstract_Expressionism,Impressionism,27
knn,Abstract_Expressionism,Pop_Art,54
knn,Baroque,Abstract_Expressionism,2
knn,Baroque,Baroque,815
knn,Baroque,Cubism,5
knn,Baroque,Impressionism,26
knn,Baroque,Pop_Art,0
knn,Cubism,Abstract_Expressionism,28
knn,Cubism,Baroque,17
knn,Cubism,Cubism,363
knn,Cubism,Impressionism,17
knn,Cubism,Pop_Art,22
knn,Impressionism,Abstract_Expressionism,34
knn,Impressionism,Baroque,342
knn,Impressionism,Cubism,41
knn,Impressionism,Impressionism,2183
knn,Impressionism,Pop_Art,12
knn,Pop_Art,Abstract_Expressionism,56
knn,Pop_Art,Baroque,16
knn,Pop_Art,Cubism,39
knn,Pop_Art,Impressionism,9
knn,Pop_Art,Pop_Art,177
svm,Abstract_Expressionism,Abstract_Expressionism,416
svm,Abstract_Expressionism,Baroque,11
svm,Abstract_Expressionism,Cubism,31
svm,Abstract_Expressionism,Impressionism,37
svm,Abstract_Expressionism,Pop_Art,62
svm,Baroque,Abstract_Expressionism,7
svm,Baroque,Baroque,765
svm,Baroque,Cubism,8
svm,Baroque,Impressionism,56
svm,Baroque,Pop_Art,12
svm,Cubism,Abstract_Expressionism,38
svm,Cubism,Baroque,15
svm,Cubism,Cubism,345
svm,Cubism,Impressionism,20
svm,Cubism,Pop_Art,29
svm,Impressionism,Abstract_Expressionism,72
svm,Impressionism,Baroque,136
svm,Impressionism,Cubism,49
svm,Impressionism,Impressionism,2331
svm,Impressionism,Pop_Art,24
svm,Pop_Art,Abstract_Expressionism,47
svm,Pop_Art,Baroque,14
svm,Pop_Art,Cubism,32
svm,Pop_Art,Impressionism,19
svm,Pop_Art,Pop_Art,185
cnn,Abstract_Expressionism,Abstract_Expressionism,398
cnn,Abstract_Expressionism,Baroque,9
cnn,Abstract_Expressionism,Cubism,47
cnn,Abstract_Expressionism,Impressionism,44
cnn,Abstract_Expressionism,Pop_Art,59
cnn,Baroque,Abstract_Expressionism,6
cnn,Baroque,Baroque,740
cnn,Baroque,Cubism,8
cnn,Baroque,Impressionism,89
cnn,Baroque,Pop_Art,5
cnn,Cubism,Abstract_Expressionism,24
cnn,Cubism,Baroque,7
cnn,Cubism,Cubism,364
cnn,Cubism,Impressionism,27
cnn,Cubism,Pop_Art,25
cnn,Impressionism,Abstract_Expressionism,40
cnn,Impressionism,Baroque,133
cnn,Impressionism,Cubism,19
cnn,Impressionism,Impressionism,2409
cnn,Impressionism,Pop_Art,11
cnn,Pop_Art,Abstract_Expressionism,44
cnn,Pop_Art,Baroque,5
cnn,Pop_Art,Cubism,35
cnn,Pop_Art,Impressionism,10
cnn,Pop_Art,Pop_Art,203
